ID,Path,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
2|114,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,681.5,291186.1843011194,4.987787383149015e-08
2|115,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,682.5,291613.4567652443,4.987787383149015e-08
2|116,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,684.5,292468.0016934941,4.987787383149015e-08
2|117,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,687.0,293536.18285380636,4.987787383149015e-08
2|118,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,692.5,295886.1814064933,4.987787383149015e-08
2|119,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,693.0,296099.8176385558,4.987787383149015e-08
2|120,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,696.0,297381.63503093045,4.987787383149015e-08
2|121,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,697.0,297808.90749505535,4.987787383149015e-08
2|122,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,699.0,298663.45242330513,4.987787383149015e-08
2|123,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,700.0,299090.72488743,4.987787383149015e-08
2|124,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,700.5,299304.3611194925,4.987787383149015e-08
2|125,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,706.0,301654.35967217945,4.987787383149015e-08
2|126,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,707.5,302295.2683683668,4.987787383149015e-08
2|127,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,707.5,302295.2683683668,4.987787383149015e-08
2|128,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,709.0,302936.1770645541,4.987787383149015e-08
2|129,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,709.5,303149.8132966166,4.987787383149015e-08
2|130,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,709.5,303149.8132966166,4.987787383149015e-08
2|131,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,710.0,303363.4495286791,4.987787383149015e-08
